42399005	42399005	4
80891009	22298006	3.15
230690007	55641003	2.9
70317007	17369002	3.15
2073000		58214004	2.6
42343007	19242006	2.2
62315008	51197009	1.8
79619009	49436004	1.8
69896004	200936003	1.55
126952004	1386000	1.65
57406009	396275006	1.55
73211009	38341003	1.5
11381005	61968008	1.5
255631004	257550005	1.45
32498003	19063003	1.35
59282003	22298006	1.45
51615001	93880001	1.55
70179006	73761001	1.15
24700007	69322001	1
74400008	64859006	1
39772007	15825003	1
87715008	420054005	1
13200003	57190000	1
35489007	128045006	1
276504003	244568009	1
