194828000	53741008	1.53000000
44808001	56265001	1.83000000
83521008	56265001	1.83000000
53741008	56265001	1.83000000
56265001	42343007	1.83000000
194828000	56265001	2.83000000
16331000	21522001	2.83000000
53741008	42343007	3.03000000
83521008	42343007	3.16000000
44808001	42343007	3.33000000
44808001	83521008	3.50000000
44808001	53741008	3.70000000
194828000	44808001	4.00000000
194828000	42343007	4.00000000
44808001	43339004	4.16000000
194828000	83521008	4.33000000
83521008	53741008	4.33000000
42343007	43339004	5.33000000
194828000	16331000	5.66000000
56265001	16331000	6.33000000
21522001	77868001	6.66000000
83521008	16331000	6.66000000
53741008	16331000	6.66000000
56265001	43339004	6.66000000
16331000	42343007	6.66000000
194828000	43339004	7.00000000
53741008	43339004	7.00000000
42343007	21522001	7.00000000
194828000	21522001	7.33000000
44808001	16331000	7.33000000
83521008	21522001	7.33000000
83521008	43339004	7.33000000
53741008	21522001	7.33000000
83521008	77868001	7.66000000
56265001	21522001	7.66000000
56265001	77868001	7.66000000
42343007	77868001	7.66000000
16331000	77868001	7.66000000
16331000	43339004	7.66000000
21522001	43339004	8.00000000
44808001	21522001	8.33000000
194828000	77868001	8.66000000
44808001	77868001	8.66000000
53741008	77868001	8.66000000
43339004	77868001	8.66000000
